position,team_id,team_name,Round 1 ,Round 2 ,Round 3,Round 4 ,Round 5 ,Round 6,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win
34,12,Arizona,82-100,69-60,71-73,,,,1,1,0,,,
62,8,Arkansas,71-77,65-72,,,,,1,0,,,,
11,239,Baylor,91-73,78-82,50-70,,,,1,1,0,,,
41,2083,Bucknell,80-86,,,,,,0,,,,,
58,2086,Butler,64-76,74-65,80-92,,,,1,1,0,,,
56,2132,Cincinnati,61-75,79-67,,,,,1,0,,,,
25,156,Creighton,72-84,,,,,,0,,,,,
52,2168,Dayton,64-58,,,,,,0,,,,,
15,150,Duke,87-65,88-81,,,,,1,0,,,,
8,2193,East Tennessee State,80-65,,,,,,0,,,,,
7,57,Florida,80-65,39-65,83-84,70-77,,,1,1,1,0,,
37,526,Florida Gulf Coast,80-86,,,,,,0,,,,,
38,52,Florida State,80-86,66-91,,,,,1,0,,,,
48,2250,Gonzaga,46-66,73-79,58-61,59-83,73-77,65-71,1,1,1,1,1,0
28,314,Iona,93-77,,,,,,0,,,,,
21,66,Iowa State,84-73,76-80,,,,,1,0,,,,
32,55,Jacksonville State,78-63,,,,,,0,,,,,
17,2305,Kansas,100-62,90-70,98-66,60-74,,,1,1,1,0,,
55,2306,Kansas State,61-75,,,,,,0,,,,,
53,2309,Kent State,80-97,,,,,,0,,,,,
50,96,Kentucky,70-79,65-62,86-75,73-75,,,1,1,1,0,,
31,97,Louisville,78-63,73-69,,,,,1,0,,,,
14,269,Marquette,93-73,,,,,,0,,,,,
40,120,Maryland,76-65,,,,,,0,,,,,
19,2390,Miami (FL),58-78,,,,,,0,,,,,
29,130,Michigan,92-91,73-69,69-68,,,,1,1,0,,,
20,127,Michigan State,58-78,90-70,,,,,1,0,,,,
59,2393,Middle Tennessee,81-72,74-65,,,,,1,0,,,,
60,135,Minnesota,81-72,,,,,,0,,,,,
2,116,Mount St. Mary's,76-56,,,,,,0,,,,,
22,2440,Nevada,84-73,,,,,,0,,,,,
12,166,New Mexico State,91-73,,,,,,0,,,,,
64,153,North Carolina,64-103,65-72,80-92,73-75,76-77,65-71,1,1,1,1,1,1
6,350,North Carolina-Wilmington,76-71,,,,,,0,,,,,
33,155,North Dakota,82-100,,,,,,0,,,,,
49,94,Northern Kentucky,70-79,,,,,,0,,,,,
46,77,Northwestern,66-68,73-79,,,,,1,0,,,,
44,87,Notre Dame,58-60,83-71,,,,,1,0,,,,
30,197,Oklahoma State,92-91,,,,,,0,,,,,
27,2483,Oregon,93-77,72-75,69-68,60-74,76-77,,1,1,1,1,0,
43,163,Princeton,58-60,,,,,,0,,,,,
23,2509,Purdue,80-70,76-80,98-66,,,,1,1,0,,,
26,227,Rhode Island,72-84,72-75,,,,,1,0,,,,
36,2608,Saint Mary's (CA),77-85,69-60,,,,,1,0,,,,
61,2550,Seton Hall,71-77,,,,,,0,,,,,
13,2579,South Carolina,93-73,88-81,50-70,70-77,73-77,,1,1,1,1,0,
47,2571,South Dakota State,46-66,,,,,,0,,,,,
10,30,Southern California,65-66,78-82,,,,,1,0,,,,
9,2567,Southern Methodist,65-66,,,,,,0,,,,,
63,2640,Texas Southern,64-103,,,,,,0,,,,,
16,2653,Troy,87-65,,,,,,0,,,,,
18,302,UC-Davis,100-62,,,,,,0,,,,,
54,26,UCLA,80-97,79-67,86-75,,,,1,1,0,,,
45,238,Vanderbilt,66-68,,,,,,0,,,,,
24,261,Vermont,80-70,,,,,,0,,,,,
1,222,Villanova,76-56,62-65,,,,,1,0,,,,
5,258,Virginia,76-71,39-65,,,,,1,0,,,,
35,2670,Virginia Commonwealth,77-85,,,,,,0,,,,,
4,259,Virginia Tech,84-74,,,,,,0,,,,,
42,277,West Virginia,80-86,83-71,58-61,,,,1,1,0,,,
51,2724,Wichita State,64-58,65-62,,,,,1,0,,,,
57,2737,Winthrop,64-76,,,,,,0,,,,,
3,275,Wisconsin,84-74,62-65,83-84,,,,1,1,0,,,
39,2752,Xavier,76-65,66-91,71-73,59-83,,,1,1,1,0,,